#Transcript position	Transcript coverage profile
0.0	44660.205554698034
1.0	45234.84627399522
2.0	44575.20514947318
3.0	44642.01425118
4.0	46541.28017075286
5.0	48484.48620698447
6.0	50005.45808285942
7.0	51915.88773662257
8.0	51955.12928539699
9.0	52535.65061726057
10.0	53707.024403381016
11.0	55157.39402916236
12.0	57455.67770644482
13.0	58777.157155898734
14.0	60444.17445956445
15.0	63049.92326572016
16.0	61038.63554197978
17.0	59596.042415815275
18.0	57840.234477403
19.0	58548.08086134133
20.0	59991.83837917134
21.0	61320.927198100355
22.0	63110.02270830258
23.0	65372.41982849679
24.0	67296.66533778404
25.0	68233.60407094963
26.0	68754.68746221565
27.0	69483.76961626673
28.0	70262.83752459919
29.0	71024.5135687758
30.0	71591.39686356219
31.0	75842.98133996494
32.0	77406.97227284842
33.0	78017.14882909413
34.0	78262.75144698069
35.0	80498.68411320893
36.0	81708.09368150595
37.0	81673.71045411313
38.0	79288.01389759434
39.0	79321.51379069802
40.0	80409.58487851251
41.0	80699.02954840782
42.0	85016.91440367728
43.0	85896.7031418454
44.0	86517.58544297182
45.0	86374.41751849283
46.0	85450.22465071394
47.0	85891.9006349188
48.0	86867.9428824109
49.0	87741.83161453884
50.0	89499.73692105226
51.0	88700.77583825601
52.0	89163.58157874996
53.0	89324.6152312844
54.0	89663.1667090339
55.0	91080.63092608782
56.0	90582.02458779809
57.0	90681.71528919139
58.0	89501.97737174669
59.0	89903.96034103753
60.0	91295.55132844164
61.0	93406.89889396101
62.0	94528.08890197032
63.0	93157.50806441337
64.0	94734.73881310514
65.0	96065.13347693082
66.0	96909.50816134801
67.0	97654.27260228741
68.0	98190.7102001604
69.0	99385.89755737172
70.0	101192.35483861284
71.0	102750.03742404173
72.0	103899.78624334303
73.0	103621.08255453827
74.0	103249.24000661616
75.0	103560.51560921855
76.0	102847.60300521197
77.0	101719.25485558208
78.0	101800.19561356935
79.0	101572.49042024795
80.0	99862.99292548154
81.0	98760.78959498812
82.0	97638.48170738912
83.0	93190.9321171395
84.0	88874.20439596247
85.0	87149.6482485364
86.0	78986.05309002016
87.0	75611.85574808097
88.0	71417.58057443962
89.0	63926.633160307356
90.0	58849.241708787486
91.0	53240.688001017996
92.0	45367.11691570712
93.0	40680.401279467
94.0	33894.59687335923
95.0	26126.060566672422
96.0	17695.434319403917
97.0	10365.780937726826
98.0	6769.06891862547
99.0	2700.773131595284
