#Transcript position	Transcript coverage profile
0.0	92016.34601597088
1.0	95064.72592727141
2.0	96340.36674285929
3.0	97435.44067081898
4.0	98537.689403366
5.0	100438.911582604
6.0	102053.1290438403
7.0	103766.89838529871
8.0	104719.2519935881
9.0	105489.03205621465
10.0	107624.67856989095
11.0	109580.68697505388
12.0	111350.30157848397
13.0	112420.08340106484
14.0	114153.9517801706
15.0	116263.80869440964
16.0	115366.37464925484
17.0	114732.6341953939
18.0	114468.37013248837
19.0	115005.03254951733
20.0	116344.71283655165
21.0	116942.51205071229
22.0	118346.58254404776
23.0	120519.21837732932
24.0	122281.89618073971
25.0	123689.88241497899
26.0	125599.6663837882
27.0	126788.48466792812
28.0	127588.26103558784
29.0	128311.24913960553
30.0	128332.56465664943
31.0	131394.31697994022
32.0	132293.02451833995
33.0	133464.65178939217
34.0	134262.26309087334
35.0	135907.31246210527
36.0	135907.26522954932
37.0	135439.58365545305
38.0	134610.20322213098
39.0	134927.165105002
40.0	135894.9698085487
41.0	135764.26570884412
42.0	137531.28409111942
43.0	138523.78232627513
44.0	139278.46547141485
45.0	140534.46689226807
46.0	140939.7647889591
47.0	141242.75979173137
48.0	142251.18520170427
49.0	142245.86625663706
50.0	142450.5232301174
51.0	142797.26835486185
52.0	143191.89240293344
53.0	143109.894296682
54.0	143326.85585337132
55.0	144200.9206015975
56.0	145003.9185957596
57.0	145983.76156981985
58.0	146325.4133966504
59.0	146568.87125609673
60.0	147521.2177182408
61.0	148677.10665132068
62.0	149696.52173458008
63.0	150111.76367120552
64.0	150971.87924958006
65.0	151430.50490293698
66.0	151937.01026722533
67.0	153051.22583348904
68.0	153195.45180692457
69.0	154351.00357131197
70.0	155675.51386710632
71.0	157002.11579446253
72.0	159546.48076276705
73.0	159755.7190274371
74.0	159849.34396076133
75.0	160942.61046256823
76.0	161433.81375821301
77.0	161363.536438562
78.0	161349.28787739415
79.0	161528.54036412787
80.0	161199.39105358694
81.0	160950.76342790367
82.0	159820.47642037153
83.0	156815.34247378825
84.0	153407.66083977083
85.0	151232.60182413546
86.0	144772.36302059097
87.0	140490.88676279594
88.0	135464.21396340866
89.0	126961.64394112729
90.0	119476.72613915948
91.0	110988.67786014116
92.0	101136.08855356804
93.0	91560.11284098515
94.0	80905.05885379012
95.0	68413.95651036881
96.0	53815.689158603505
97.0	38121.8797797291
98.0	22705.0047737733
99.0	7579.60992849981
