#Transcript position	Transcript coverage profile
0.0	134185.20722874894
1.0	139025.67726084657
2.0	140214.06091950586
3.0	140664.03343145715
4.0	141342.32145909546
5.0	142782.84671468977
6.0	143921.15925233142
7.0	145979.96512160575
8.0	147889.03738195027
9.0	148528.0074918646
10.0	151695.94095125044
11.0	154288.5380430279
12.0	157863.60178763024
13.0	158749.39043396173
14.0	160524.38984928228
15.0	164649.87912065157
16.0	163098.16566179224
17.0	161833.6471569541
18.0	160626.30796185473
19.0	161983.26422617835
20.0	164433.68789383708
21.0	165986.74833246233
22.0	168065.01965395323
23.0	171529.29779510235
24.0	175064.47939550987
25.0	177742.68030559714
26.0	181551.0120634497
27.0	185234.62432227292
28.0	187129.23009960697
29.0	188500.04278730505
30.0	189293.04665217773
31.0	195806.6008533111
32.0	197632.8743474984
33.0	200537.94948780173
34.0	203146.76433770187
35.0	207712.22964077786
36.0	208976.5777551616
37.0	208580.523149413
38.0	205701.2450594542
39.0	206167.77666917111
40.0	208762.06262793572
41.0	209570.93748218968
42.0	214687.12638571183
43.0	217266.23659304742
44.0	219165.40665856097
45.0	222074.81286903654
46.0	223247.2124212595
47.0	224476.32448753706
48.0	226883.47613374965
49.0	228134.06289993806
50.0	231230.70776941258
51.0	232908.38747133483
52.0	235903.61911791394
53.0	237237.10969441233
54.0	238638.2459579297
55.0	242297.36087069113
56.0	245325.1058823213
57.0	248571.74164172515
58.0	250015.1647012835
59.0	251683.77532227663
60.0	254401.30746906166
61.0	257767.9638859479
62.0	261529.16374247355
63.0	262973.95458098577
64.0	265367.46093426086
65.0	268125.92486866587
66.0	270601.67767801083
67.0	273820.7071487726
68.0	275461.543725415
69.0	278538.6454392033
70.0	282678.3877495805
71.0	287233.686811801
72.0	294006.54758346506
73.0	295617.3288676774
74.0	296469.101309044
75.0	300222.87081152084
76.0	303557.6662600698
77.0	304472.53351990477
78.0	306079.04521473084
79.0	306807.2988199865
80.0	307575.22799310856
81.0	309940.5394090486
82.0	309180.9999090601
83.0	303131.44211699255
84.0	298215.9826370546
85.0	293866.58653313614
86.0	281621.4440508184
87.0	274789.0088611643
88.0	266134.6884702981
89.0	250356.24830019497
90.0	237244.15586923782
91.0	222254.74753104968
92.0	204656.44294496343
93.0	187537.33516104415
94.0	167082.72611638458
95.0	143833.58950484995
96.0	113737.88091764784
97.0	79306.66609677649
98.0	44688.63129931771
99.0	13457.94019621258
