#Transcript position	Transcript coverage profile
0.0	26759.266287260434
1.0	27171.61521571633
2.0	26075.862222365442
3.0	25172.33063501485
4.0	25026.297586519944
5.0	25040.661479275168
6.0	24809.771783101307
7.0	25599.504898720537
8.0	26158.913742789355
9.0	26000.960019431095
10.0	27277.113835856155
11.0	28387.615070674736
12.0	30152.104299204006
13.0	30386.194769060665
14.0	30992.284627292476
15.0	32404.536601343934
16.0	31028.338293302044
17.0	30097.39089743503
18.0	28889.132413317497
19.0	29342.837344202057
20.0	30096.449375536908
21.0	30544.836331080976
22.0	31085.468137787833
23.0	32260.26889159008
24.0	33805.22417493324
25.0	34669.19133996395
26.0	35674.6531233975
27.0	36606.07308986576
28.0	37123.934284959316
29.0	37156.880131469334
30.0	37369.880681718496
31.0	39916.539364878925
32.0	40297.22431038048
33.0	41124.85069563346
34.0	41673.17205618865
35.0	43010.05540147684
36.0	43164.240736468135
37.0	42181.212466222954
38.0	40329.47198053024
39.0	39894.346876782336
40.0	40569.54553404573
41.0	40706.9497464097
42.0	42978.14299102907
43.0	43606.01727631189
44.0	43838.109317690774
45.0	45025.68572498123
46.0	44550.53217145381
47.0	44500.64067246175
48.0	45270.43123753037
49.0	45791.09053682893
50.0	46633.00414337762
51.0	46559.62692282296
52.0	47096.729307882284
53.0	47119.1384013806
54.0	47343.28557140081
55.0	48483.36244862775
56.0	48885.740280173326
57.0	49480.205753181246
58.0	49106.42705497795
59.0	49474.11292923744
60.0	49809.379590526085
61.0	50617.056622580385
62.0	51223.4527829537
63.0	50956.7642592009
64.0	51578.32748695702
65.0	52379.012323238894
66.0	52745.9317326664
67.0	53744.329325384984
68.0	54109.21252786611
69.0	55023.74441569307
70.0	56335.8729205711
71.0	57657.90855233262
72.0	59519.876180913765
73.0	59042.01152267623
74.0	58348.4018449359
75.0	58838.900267756886
76.0	59130.068096792216
77.0	58505.36897005131
78.0	59056.695989735126
79.0	58903.43535458074
80.0	58806.11140239813
81.0	59551.84814972823
82.0	58022.85842584899
83.0	54751.689250185955
84.0	52731.239159569166
85.0	51323.134479391374
86.0	46714.49588349331
87.0	45291.06396142346
88.0	43017.486541636004
89.0	38293.38482440972
90.0	35434.79338281055
91.0	32032.865158092583
92.0	27918.627453448767
93.0	24693.91548106864
94.0	20696.27939416469
95.0	16339.14886624719
96.0	10796.756328933781
97.0	5954.713640298638
98.0	3697.561462416759
99.0	1367.2840877251995
