external_gene_name
Ace
Actr1b
Akt3
Alms1p
Asphd1
Atg13
Atp2a2
Bcl11b
Bnip3l
C12or43
Cacna1c
Caln1
Cisd2
Clcn3
Cntn4
Creb3l4
Crhr1
Csmd1
Cul9
Cyp7b1
Dars2
Dcc
Dclk3
Ddhd2
Dlgap2
Dnaja3
Dpyd
Emb
Emx1
Enox1
Epn2
Eys
Fam114a2
Fam216a
Fam83d
Mrm2
Furin
Gabbr2
Gatad2a
Gpm6a
Adgrv1
Gramd1b
Grin2a
Grm1
Hyi
Ilrapl1
Immp2l
Ino80e
Irf3
Kansl1
Kiaa1549
Klf6
Lrrc4b
Lsm1
Mad1l1
Man2a1
Mapk3
Mapt
Mlxip
Mob4
Msi2
Myo19
Nab2
Ndfip2
Nebl
Negr1
Nlgn4x
Nrip1
Nxph1
Opcml
Pak6
Pccb
Pcdha2
Pcdhab
Pcgf3
Pcnxl3
Pde4b
Pdia3
Pja1
Plch2
Psma4
Ptprd
R3hdm2
Rere
Rnaseh2c
Setd6
Sf3b1
Slc39ab
Slc4a10
Slc9b1
Snap91
Sp4
Thap8
Thoc7
Trpc4
Tsnare1
Txnrd1
Wbscr17
Wdr76
Wscd2
Znf804a
Znf823
Znf835
