#Transcript position	Transcript coverage profile
0.0	9692.079054701437
1.0	10114.521779524755
2.0	10420.82640987159
3.0	10676.050963310368
4.0	10896.311275373044
5.0	11174.248474352047
6.0	11415.703371042127
7.0	11672.0771532753
8.0	11933.361613682604
9.0	12116.29890664546
10.0	12341.350717646588
11.0	12646.182600444177
12.0	12997.183879347573
13.0	13220.586606540031
14.0	13414.025595140256
15.0	13585.42017700795
16.0	13709.892424693264
17.0	13839.291198296049
18.0	13888.546337016356
19.0	13939.210247037112
20.0	14065.634518879533
21.0	14183.602125826394
22.0	14323.207307966448
23.0	14507.955986963343
24.0	14629.17732340114
25.0	14774.499122537958
26.0	14998.439641804278
27.0	15210.327249467817
28.0	15325.450450189053
29.0	15384.803788170513
30.0	15460.780575567904
31.0	15602.403533676992
32.0	15644.392614921924
33.0	15737.704559440517
34.0	15878.420155983706
35.0	16058.05451491094
36.0	16119.59624928267
37.0	16174.754167938852
38.0	16130.389560312682
39.0	16182.17699465485
40.0	16249.320468704369
41.0	16249.163141427272
42.0	16332.385253355349
43.0	16332.56360720706
44.0	16341.22350940295
45.0	16334.959536687418
46.0	16382.592143883356
47.0	16389.825580018463
48.0	16396.853706251797
49.0	16291.093956360275
50.0	16301.413002251653
51.0	16227.044352286808
52.0	16198.238179867509
53.0	16169.041032725996
54.0	16114.536798420766
55.0	16143.271831502485
56.0	16238.443480527578
57.0	16294.07734281367
58.0	16315.020477092337
59.0	16293.073200065579
60.0	16286.475483440185
61.0	16310.866473600967
62.0	16337.902247580892
63.0	16414.606752007956
64.0	16459.034324280976
65.0	16440.958184927138
66.0	16515.050685944818
67.0	16577.779316527078
68.0	16562.068917072575
69.0	16683.238817860074
70.0	16717.01271746274
71.0	16777.39990088237
72.0	16873.311739124376
73.0	16903.362524230342
74.0	16926.48500322374
75.0	17006.447901927397
76.0	17072.407986594884
77.0	17145.741447088614
78.0	17176.482810869238
79.0	17113.09650616994
80.0	17037.005326386956
81.0	17016.525641761964
82.0	16899.767282969475
83.0	16659.817594867804
84.0	16381.116447053591
85.0	16160.517767861716
86.0	15658.737080229643
87.0	15219.24992889872
88.0	14679.036615614314
89.0	13954.149651842266
90.0	13166.683677488505
91.0	12319.576339650555
92.0	11372.59800483901
93.0	10275.858343586231
94.0	9110.64376182651
95.0	7758.643704673036
96.0	6223.684195440696
97.0	4553.97753412664
98.0	2731.869994973539
99.0	869.1979935341265
