#Transcript position	Transcript coverage profile
0.0	48608.67640163775
1.0	49518.71826440725
2.0	47615.22246999482
3.0	46068.08915895986
4.0	45865.830660249165
5.0	45899.520520189675
6.0	45653.92201644033
7.0	47026.031863414224
8.0	47997.19452385124
9.0	47871.26654791111
10.0	50089.765432752225
11.0	51645.5331060496
12.0	55010.800248315405
13.0	55063.96030035229
14.0	56170.14214443725
15.0	59393.82850104521
16.0	56989.3342966496
17.0	55065.646162768906
18.0	52521.36893576288
19.0	53197.514326199846
20.0	54513.220445743165
21.0	55193.323226126806
22.0	56103.65687827609
23.0	58245.72449226738
24.0	61047.3876914363
25.0	62448.57485284658
26.0	64312.68847200588
27.0	65986.95706716442
28.0	66188.35927428195
29.0	65856.90677330836
30.0	65886.37993220017
31.0	70771.58839903049
32.0	71516.0014763957
33.0	73553.22528617088
34.0	74688.7270633745
35.0	77148.60764041288
36.0	77709.75641057878
37.0	75931.14460434818
38.0	71636.93982813864
39.0	70324.34261791545
40.0	71113.70117858786
41.0	71334.1992325921
42.0	76167.71467722475
43.0	77565.05151341968
44.0	78166.38508487106
45.0	79871.63123716197
46.0	78817.00224246024
47.0	78875.88643326226
48.0	79835.95851332831
49.0	80698.75148918424
50.0	82682.47528685893
51.0	82795.47774160429
52.0	84434.90042359022
53.0	84674.4841723153
54.0	84803.14744818657
55.0	86964.2261086082
56.0	87740.09859077666
57.0	88984.62115026642
58.0	88354.81959299897
59.0	88823.46882450512
60.0	89629.62295261404
61.0	91848.7300355013
62.0	93591.01411651072
63.0	92842.96818890277
64.0	94167.3425387855
65.0	95948.42830987636
66.0	96743.44390738377
67.0	98241.45405330286
68.0	99003.30189107396
69.0	100420.78282642395
70.0	102971.21517443947
71.0	105032.65532751565
72.0	108352.42731696706
73.0	107899.29682388718
74.0	106598.43353745592
75.0	107740.76280492928
76.0	109064.85998740219
77.0	107799.28422181337
78.0	108324.17261079789
79.0	107709.06110801184
80.0	107212.99405884289
81.0	108700.20449935376
82.0	106525.30493913575
83.0	99779.53074797169
84.0	96004.86970564816
85.0	92419.20783020837
86.0	82372.63591214952
87.0	79478.00541333997
88.0	74591.17310230527
89.0	65525.20975811262
90.0	60369.57507942471
91.0	54344.15617541323
92.0	46757.11395812906
93.0	42013.79960556711
94.0	34631.95937255205
95.0	27183.15902075021
96.0	17619.432605608905
97.0	9519.189020284824
98.0	5913.172566431614
99.0	2218.0388674247397
