#Transcript position	Transcript coverage profile
0.0	53232.94446779653
1.0	55133.59914410309
2.0	55977.780709970844
3.0	56534.67503857633
4.0	57313.159652282455
5.0	58437.09383646689
6.0	59357.8267032506
7.0	60498.95378589533
8.0	61469.39049303088
9.0	62127.13581399735
10.0	63574.41348428674
11.0	64916.74528847175
12.0	66351.400429782
13.0	67056.78786478797
14.0	67861.19047884922
15.0	69533.39104659884
16.0	69479.47335316519
17.0	69410.6432422789
18.0	69453.18539555614
19.0	70103.93217017535
20.0	71119.11814694968
21.0	71753.85296813205
22.0	72697.74443368326
23.0	74033.2864005408
24.0	75155.5002831094
25.0	76068.56482859366
26.0	77391.05471617343
27.0	78566.97628575929
28.0	79348.23713492867
29.0	80005.5559258853
30.0	80387.47008744896
31.0	82380.46731664977
32.0	82885.16068554681
33.0	83793.55351786737
34.0	84701.68997380041
35.0	86166.65008338777
36.0	86447.69082038995
37.0	86365.16994375295
38.0	85546.10141010942
39.0	85591.25332063709
40.0	86445.84742387508
41.0	86608.09726224875
42.0	87903.14128974627
43.0	88530.35827495226
44.0	89101.45782554933
45.0	90111.17690968038
46.0	90583.72231871459
47.0	91022.7235833287
48.0	91852.9513332406
49.0	92008.17936031501
50.0	92649.1704648613
51.0	92984.63105821982
52.0	93384.5958182805
53.0	93411.28544610298
54.0	93448.35363603904
55.0	93927.20967454655
56.0	94423.07011857227
57.0	95161.86130928989
58.0	95459.16683097926
59.0	95722.34262519548
60.0	96431.2735419793
61.0	97233.80796792975
62.0	98024.0290421059
63.0	98487.44051911435
64.0	98960.06023771789
65.0	99309.55663600998
66.0	99813.1194351024
67.0	100554.08803249535
68.0	100646.35954471931
69.0	101427.3618827695
70.0	102336.4325851664
71.0	103312.32166535767
72.0	105026.68168424991
73.0	105060.77935363511
74.0	105023.27263527134
75.0	105699.00990925764
76.0	106143.20076997523
77.0	106049.01836401479
78.0	106224.35956332735
79.0	106188.36127677566
80.0	106038.43929425992
81.0	106303.66327313478
82.0	105537.52427834028
83.0	103271.98707327788
84.0	101335.77948419706
85.0	99708.59327021301
86.0	95734.94701645595
87.0	93159.9756366812
88.0	89714.99502151327
89.0	84167.60989883647
90.0	79263.85324177517
91.0	73684.99154854429
92.0	67450.67944995915
93.0	61004.698279387885
94.0	53828.3181090059
95.0	45875.40408369473
96.0	36275.02142061764
97.0	25437.76929713207
98.0	14855.901412096744
99.0	4816.102703849331
