#Transcript position	Transcript coverage profile
0.0	115961.43433343573
1.0	119380.8717611215
2.0	120679.25426664673
3.0	121832.72472007993
4.0	123231.92724080163
5.0	125555.7329682775
6.0	127575.80062699234
7.0	129809.0820140813
8.0	131102.82536902223
9.0	132137.32738427352
10.0	134937.20220494468
11.0	137541.38014304105
12.0	140208.83565830466
13.0	141751.41251200167
14.0	143938.7693876216
15.0	146784.2555616984
16.0	145811.63468477255
17.0	145251.8533495011
18.0	144900.18443838437
19.0	145675.3994727175
20.0	147524.29366008838
21.0	148406.40280210075
22.0	150333.8181159958
23.0	153087.79149664217
24.0	155397.27665915582
25.0	157156.1704562589
26.0	159451.10027956206
27.0	161135.2376672958
28.0	162337.49147461724
29.0	163123.488905266
30.0	163149.96373177608
31.0	167240.40664901
32.0	168363.52385605915
33.0	169808.23180675352
34.0	170898.8593782441
35.0	173183.01622241575
36.0	173317.89194817565
37.0	172676.82459174926
38.0	171550.01729987783
39.0	171948.9315161745
40.0	173386.85199748504
41.0	173349.12979479655
42.0	175617.59189452394
43.0	176805.15343065897
44.0	177581.6766483002
45.0	179253.56550891313
46.0	179611.54882746536
47.0	180026.91043717484
48.0	181364.73153154424
49.0	181316.4408171682
50.0	181763.5262408318
51.0	182086.81271108825
52.0	182502.9227206521
53.0	182461.71940073132
54.0	182858.56547876462
55.0	184130.1720594991
56.0	185240.9023613945
57.0	186419.64817947967
58.0	186818.5193235487
59.0	187194.11493403895
60.0	188500.03478518562
61.0	190032.67078399935
62.0	191412.93583807326
63.0	191925.45155801906
64.0	192957.86055393642
65.0	193680.79471239127
66.0	194452.04473735573
67.0	196132.88433652197
68.0	196382.64366355768
69.0	197869.296056602
70.0	199666.92088036562
71.0	201505.6101051091
72.0	204877.61798388982
73.0	204946.19459295803
74.0	204989.24814704043
75.0	206368.2784012473
76.0	206952.8508184356
77.0	206792.2099500983
78.0	206814.41368737115
79.0	206957.4403648027
80.0	206316.80963985238
81.0	206066.87290354917
82.0	204589.90282292286
83.0	200717.550941381
84.0	196305.35105895007
85.0	193668.41980504658
86.0	185459.303082761
87.0	180033.1987574736
88.0	173666.7186687408
89.0	162912.8266239394
90.0	153311.08506227317
91.0	142292.72039660375
92.0	129522.57814992423
93.0	117075.22385330522
94.0	103422.16463257367
95.0	87480.76755573075
96.0	68776.84070042556
97.0	48565.13102046965
98.0	28865.500667376808
99.0	9648.46552615908
