#Transcript position	Transcript coverage profile
0.0	8429.500733477063
1.0	8756.088000803164
2.0	9070.55070077805
3.0	9331.446429799202
4.0	9614.87478451758
5.0	9981.241828495286
6.0	10311.85172508514
7.0	10600.731326241461
8.0	10887.01799415724
9.0	11090.678213439161
10.0	11281.542816056488
11.0	11566.725778420277
12.0	11872.674988825209
13.0	12062.65529832766
14.0	12261.282816502538
15.0	12439.431111545366
16.0	12568.757317719335
17.0	12679.594710537445
18.0	12726.183947205234
19.0	12757.948860646606
20.0	12844.876795049557
21.0	12934.28431148154
22.0	13042.619346788846
23.0	13149.139903645908
24.0	13242.263015978995
25.0	13331.169297541815
26.0	13471.687502734538
27.0	13578.001712133957
28.0	13660.332824943935
29.0	13701.855513450713
30.0	13747.41377415572
31.0	13834.193631576905
32.0	13823.63666628703
33.0	13843.247167899523
34.0	13958.220509633831
35.0	14067.401330236673
36.0	14099.662297366884
37.0	14133.344155018414
38.0	14089.702327999168
39.0	14110.543025180035
40.0	14146.615533269714
41.0	14131.382945579458
42.0	14168.806624062558
43.0	14162.927937903602
44.0	14127.78823668298
45.0	14144.436767484103
46.0	14161.554769796701
47.0	14150.083643551407
48.0	14154.275379401644
49.0	14051.935940774303
50.0	14051.697439001087
51.0	14009.0586305675
52.0	13938.947716681716
53.0	13853.21742085205
54.0	13803.022161600462
55.0	13790.096565484417
56.0	13814.981611749752
57.0	13840.626426834035
58.0	13849.413608375446
59.0	13826.434959071394
60.0	13789.190891405913
61.0	13781.367673694798
62.0	13770.099119837414
63.0	13813.826443388734
64.0	13833.701615608048
65.0	13812.165202979606
66.0	13864.504822264527
67.0	13889.87856074716
68.0	13831.283142434859
69.0	13882.332422163456
70.0	13865.814472261793
71.0	13897.955217436911
72.0	13944.321679315171
73.0	13938.517866161954
74.0	13962.469930561125
75.0	14016.73449618373
76.0	14049.33529485116
77.0	14122.154457944442
78.0	14126.369657971087
79.0	14048.783642921651
80.0	13958.102184712507
81.0	13915.699080770955
82.0	13813.27320250091
83.0	13678.763118617479
84.0	13472.260229460131
85.0	13318.779845828358
86.0	12990.517654487372
87.0	12642.783227713631
88.0	12243.064438269867
89.0	11667.881467083555
90.0	11037.771134554405
91.0	10389.161677321128
92.0	9670.753075492956
93.0	8823.89446840792
94.0	7946.828674459813
95.0	6914.803752435966
96.0	5683.572258764041
97.0	4255.765258061076
98.0	2577.24776965094
99.0	814.4935515794243
