#Transcript position	Transcript coverage profile
0.0	191782.56333072687
1.0	196342.52487612033
2.0	198915.88718981243
3.0	202429.2072381514
4.0	208038.039995591
5.0	214389.24340009177
6.0	220352.54422787504
7.0	226419.35882607344
8.0	229790.86373396593
9.0	233518.4740655975
10.0	238744.8927618548
11.0	243932.00538426152
12.0	250618.40137570453
13.0	255103.82740104102
14.0	259483.22848640487
15.0	266778.7124433691
16.0	265498.98192654585
17.0	265397.8496057668
18.0	264648.3188867951
19.0	267441.2580631141
20.0	272055.94439636794
21.0	275780.2183851705
22.0	280385.80206996656
23.0	285919.480156192
24.0	290596.55804113083
25.0	293678.1964874001
26.0	297881.88586361974
27.0	302224.227758882
28.0	305574.8103470581
29.0	308426.03923785716
30.0	310097.49991104804
31.0	318694.5202769186
32.0	322305.9903535144
33.0	324688.5160553774
34.0	326747.6189174267
35.0	332829.56761823874
36.0	336247.22179148166
37.0	338087.2573796001
38.0	334808.96514876315
39.0	335493.1158474497
40.0	338442.23228252924
41.0	339566.27577904525
42.0	346649.4128195839
43.0	349501.6438439872
44.0	351593.0832450765
45.0	352711.53722769115
46.0	353044.0485349474
47.0	354311.63998923695
48.0	356716.26845925994
49.0	358610.89088794077
50.0	362241.1320534828
51.0	362711.41259576497
52.0	364516.0850979656
53.0	365752.85828230414
54.0	367136.5012388502
55.0	370876.2710411355
56.0	372005.2872768007
57.0	374204.81172997644
58.0	374375.1111982424
59.0	375765.57233760087
60.0	379070.60454800754
61.0	383078.2279525904
62.0	386309.22869333404
63.0	385846.38979347405
64.0	389336.57090405875
65.0	392220.4356617257
66.0	394869.23465992376
67.0	397319.9871666884
68.0	398103.4313410321
69.0	400169.53370874486
70.0	403779.8877571094
71.0	408633.62313218217
72.0	412794.49721070536
73.0	414272.4257569091
74.0	415607.6439259069
75.0	418513.1719663764
76.0	419721.1327155305
77.0	420045.32770725753
78.0	420543.4740697253
79.0	420779.1254901054
80.0	418812.09544411197
81.0	417277.66983907437
82.0	415431.47276296257
83.0	406902.8820496037
84.0	397650.9634547927
85.0	391913.3692178152
86.0	373776.4855369549
87.0	362676.4204844096
88.0	349535.8483801033
89.0	327506.3828197789
90.0	307744.89710886084
91.0	285140.807019283
92.0	258263.94077114642
93.0	233857.82991481796
94.0	203915.6965412593
95.0	171377.53061466786
96.0	133911.51133334741
97.0	93332.73925848209
98.0	55229.43877219188
99.0	18323.259680572843
