#Transcript position	Transcript coverage profile
0.0	62596.628859701195
1.0	62976.05403156321
2.0	61757.47175148457
3.0	61570.851825896185
4.0	63952.51907024906
5.0	66363.21520550501
6.0	68497.7489954451
7.0	71472.46543060997
8.0	71665.70759583762
9.0	72403.6949450906
10.0	74139.8779778266
11.0	75928.17718205997
12.0	79534.69735236955
13.0	81336.92230000331
14.0	83445.2761009954
15.0	87428.11933471257
16.0	84116.98933823995
17.0	81975.1080364564
18.0	79011.90151089846
19.0	80089.55658035584
20.0	82384.98971839585
21.0	84257.7207582979
22.0	86784.96428071936
23.0	89863.6416959024
24.0	92379.49593680805
25.0	93495.5545404921
26.0	94764.75069583573
27.0	96008.02014588067
28.0	96962.46652314218
29.0	97813.68031560093
30.0	98612.08532402742
31.0	104724.49985538656
32.0	106853.32369009983
33.0	107946.14037990193
34.0	108289.6163482496
35.0	111336.70014628061
36.0	113519.9505310868
37.0	113730.8135385561
38.0	109671.28462477178
39.0	109307.30296320928
40.0	110482.01298092907
41.0	111044.88081160591
42.0	117501.07459045801
43.0	118455.7261531227
44.0	118988.9000670033
45.0	118813.81725692793
46.0	117197.25477205166
47.0	117557.4871079784
48.0	118552.29694521692
49.0	120059.14727219622
50.0	122797.69321616167
51.0	121845.24944788811
52.0	122558.80201757983
53.0	122875.77635442311
54.0	123463.94071108656
55.0	125745.32628567058
56.0	125226.14189286248
57.0	125455.30788900497
58.0	123975.80471441188
59.0	124573.83101446467
60.0	126926.1409354286
61.0	130172.84269423767
62.0	131916.63506777002
63.0	129898.93720402863
64.0	132365.91087769257
65.0	134460.43521616323
66.0	135614.7728957625
67.0	136425.66459163828
68.0	137120.93975576755
69.0	138849.9310106384
70.0	141604.8981119183
71.0	144259.38909278362
72.0	146026.84335167147
73.0	145896.60837838225
74.0	145362.29219634092
75.0	145804.5011350731
76.0	144969.66071817317
77.0	143338.55634674308
78.0	143436.0363446981
79.0	143068.98447332502
80.0	140683.46521030972
81.0	139562.6149425542
82.0	137907.9746781659
83.0	130778.56010972451
84.0	124445.62782192741
85.0	121648.50762665307
86.0	109021.76922923856
87.0	104031.09924164927
88.0	97567.20295861449
89.0	86198.39215782116
90.0	78702.78907170685
91.0	70515.05794329097
92.0	59361.65168085122
93.0	53206.016958738954
94.0	43922.401009384506
95.0	34068.710652054055
96.0	22594.879217741494
97.0	12756.630887261073
98.0	8467.45891732375
99.0	3308.2431903985753
