#Transcript position	Transcript coverage profile
0.0	81812.33377383748
1.0	84170.39787642112
2.0	84682.2126310862
3.0	84620.81726567684
4.0	85223.02939608146
5.0	86336.82964920302
6.0	87266.26029027226
7.0	88420.70047862838
8.0	89816.72593069769
9.0	90472.14302926771
10.0	92680.97987633162
11.0	94438.56810921675
12.0	96329.4765433845
13.0	96988.52307106621
14.0	98301.16511334029
15.0	101001.85659860799
16.0	100454.97450599143
17.0	100441.50459821803
18.0	100581.697114609
19.0	101553.67410085766
20.0	103189.43825844106
21.0	104234.07169698473
22.0	105760.76407374172
23.0	108044.2799804225
24.0	110249.26660209989
25.0	112135.90085993195
26.0	114741.96887760534
27.0	117072.16180393477
28.0	118594.13060318843
29.0	119492.50377553276
30.0	120016.92389035683
31.0	123400.75434140587
32.0	124448.28969582445
33.0	125804.58934825895
34.0	127473.7021615297
35.0	129847.4837373297
36.0	130159.11888274962
37.0	130055.581712645
38.0	128567.83402437427
39.0	128996.098205976
40.0	130685.83780912949
41.0	131150.3061280152
42.0	133636.03448140793
43.0	135189.46760158843
44.0	136084.93240418768
45.0	137907.0081072261
46.0	138779.47377131553
47.0	139521.96697685836
48.0	141224.08403730913
49.0	141888.48438419282
50.0	143706.14747599253
51.0	144664.60852317605
52.0	145760.72400292926
53.0	146509.3715896337
54.0	147190.10029667424
55.0	149070.96134878404
56.0	150882.49270722893
57.0	152532.34235879983
58.0	153456.00381249737
59.0	154325.1134719708
60.0	155873.50805066508
61.0	157752.07242517485
62.0	159761.89486853956
63.0	160688.35549137052
64.0	161780.5942226724
65.0	163234.56554193966
66.0	164413.88102871217
67.0	166141.62772328866
68.0	166564.7014348985
69.0	168116.61988017804
70.0	170223.07071887725
71.0	172654.12778219927
72.0	176617.42160113793
73.0	177093.53282024438
74.0	177445.89603222813
75.0	179203.46262057513
76.0	180682.39127077718
77.0	180982.58373514801
78.0	182309.30392269007
79.0	182887.7230140939
80.0	183182.74882771578
81.0	184177.58632827815
82.0	183610.23750967716
83.0	180289.0019327222
84.0	177351.1977535276
85.0	175215.08441765327
86.0	168718.48089286257
87.0	164839.66198796604
88.0	160066.74523742255
89.0	151040.92712664392
90.0	143540.12896375472
91.0	134710.09596547252
92.0	124383.80633568783
93.0	114040.64388807608
94.0	102498.35876308013
95.0	88791.50016524765
96.0	70433.35440163114
97.0	49837.11244817869
98.0	28078.73228223561
99.0	8512.620351347648
