#Transcript position	Transcript coverage profile
0.0	6892.374642464441
1.0	7229.1228626960155
2.0	7492.963880144521
3.0	7710.541328155651
4.0	7920.754341719852
5.0	8176.511982313198
6.0	8393.713291417513
7.0	8597.797848541866
8.0	8813.443075426192
9.0	8933.640426857215
10.0	9075.344535791057
11.0	9278.327802983024
12.0	9532.022625406024
13.0	9714.422719927428
14.0	9901.924128553095
15.0	10040.882950688407
16.0	10155.971065713293
17.0	10258.400044671758
18.0	10324.503111214772
19.0	10371.056281454696
20.0	10468.962267022303
21.0	10575.745371801553
22.0	10677.354719635907
23.0	10789.100431932051
24.0	10862.12170796038
25.0	10951.255271662003
26.0	11106.104798251958
27.0	11227.728013332331
28.0	11345.158403068017
29.0	11405.51627196065
30.0	11463.605934282854
31.0	11533.108468453222
32.0	11540.307182644057
33.0	11554.793282257478
34.0	11654.922141060115
35.0	11766.217138348906
36.0	11826.192301232388
37.0	11859.98382135132
38.0	11835.19623794059
39.0	11877.841607851507
40.0	11947.767898785147
41.0	11929.589000004684
42.0	11978.136731349521
43.0	12002.467145878036
44.0	11993.632488882551
45.0	12006.871349134766
46.0	12053.695784698455
47.0	12072.097697016981
48.0	12097.946301816972
49.0	12026.95517927534
50.0	12038.963240320461
51.0	12036.21387926013
52.0	12001.719761601693
53.0	11973.781620800304
54.0	11940.932770709122
55.0	11936.132069599711
56.0	11986.86385176055
57.0	12024.382710385038
58.0	12054.509954631627
59.0	12066.143218464842
60.0	12063.82078434563
61.0	12084.978672515235
62.0	12091.828019007513
63.0	12150.312713242021
64.0	12168.018911852801
65.0	12152.778919299184
66.0	12188.594745861832
67.0	12227.081591223721
68.0	12203.717671677598
69.0	12284.351369168426
70.0	12311.30146441374
71.0	12374.014860403877
72.0	12450.752093870424
73.0	12459.458871904519
74.0	12474.270074787188
75.0	12534.804503451507
76.0	12577.124920962337
77.0	12625.31536550212
78.0	12658.517576126971
79.0	12628.72037725564
80.0	12590.71014022476
81.0	12594.28508392875
82.0	12497.376432871994
83.0	12337.144862022424
84.0	12101.011144065898
85.0	11925.754134415092
86.0	11566.464372002325
87.0	11227.229117131845
88.0	10840.331358706952
89.0	10332.476212975842
90.0	9765.536277603096
91.0	9163.582542283795
92.0	8513.210751634635
93.0	7753.258005021342
94.0	7001.344965599388
95.0	6077.550587912515
96.0	4967.884433025898
97.0	3706.3908253115674
98.0	2234.7417204005337
99.0	709.1101646545925
